pmid,score,title,date,journal,pubtype,abstract,chemicals,topics,keywords,meshterms
36243422,7.793160813844877,Histopathology of Vascular Malformations.,18-10-2022,Dermatologic clinics,"Journal Article,Review","Vascular malformations are developmental disorders involving the blood and lymphatic vasculature. The study of vascular malformations is a complex and rapidly evolving field with new understanding and insights into the clinical, histopathology, and molecular basis of these lesions. Diagnostic classification of vascular malformations is based on their unique clinical, radiologic imaging, histologic, and molecular characteristics. This article follows the published classification of the International Society for the Study of Vascular Anomalies. It describes characteristic histopathologic findings in tissues of vascular malformations and information on known genetic causes.",,,"Histopathology,Molecular pathogenesis,Vascular anomalies,Vascular malformations","Diagnostic Imaging,Humans,Vascular Malformations"
36173044,7.791752957162411,Bisphenol A-Induced Endocrine Dysfunction and its Associated Metabolic Disorders.,29-09-2022,"Endocrine, metabolic & immune disorders drug targets",Journal Article,"Bisphenol A (BPA) is an endocrine-disrupting chemical widely present in many consumer goods that poses a significant threat to our health upon exposure. Humans are exposed to BPA, which directly or indirectly causes endocrine dysfunctions that lead to metabolic disorders like obesity, fatty liver diseases, insulin resistance, polycystic ovarian syndrome, and other endocrine-related imbalances. The duration, quantity, and period of exposure to BPA, especially during the critical stage of development, determine its impact on reproductive and non-reproductive health. Because of its endocrine-disrupting effects, the European Chemical Agency has added BPA to the candidate list of chemicals of very high concern. Due to its estrogenic properties and structural similarities with thyroid hormones, BPA disrupts the endocrine system at different levels. It interacts with estrogen receptors at the molecular level and acts as an antagonist or agonist via an estrogen receptor-dependent signaling pathway. In particular, BPA binds to G-protein coupled receptors and estrogen receptors, activating signaling pathways that influence cellular apoptosis, proliferation, differentiation, and inflammation. BPA acts as an obesogen that promotes adipogenesis and correlates with increased lipid accumulation and elevated expression of adipogenic markers. As a metabolic and endocrine disruptor, BPA impairs cellular homeostasis by increasing oxidative mediators and decreasing antioxidant enzymes, resulting in mitochondrial dysfunction. Due to its endocrine-disrupting properties, BPA exposure induces endocrine dysfunctions, causing metabolic syndrome. This review gives a recent development and novel insights into the cellular and molecular mechanisms of BPA-induced endocrine dysfunctions and their associated metabolic disorders.",,,"Bisphenol A,endocrine disruptor,metabolic syndrome,obesogen,xenoestrogen",
35462903,7.788421028629961,Application of Quercetin in the Treatment of Gastrointestinal Cancers.,16-07-2022,Frontiers in pharmacology,"Journal Article,Review","{'i': 'via', '#text': 'Many cellular signaling pathways contribute to the regulation of cell proliferation, division, motility, and apoptosis. Deregulation of these pathways contributes to tumor cell initiation and tumor progression. Lately, significant attention has been focused on the use of natural products as a promising strategy in cancer treatment. Quercetin is a natural flavonol compound widely present in commonly consumed foods. Quercetin has shown significant inhibitory effects on tumor progression  various mechanisms of action. These include stimulating cell cycle arrest or/and apoptosis as well as its antioxidant properties. Herein, we summarize the therapeutic effects of quercetin in gastrointestinal cancers (pancreatic, gastric, colorectal, esophageal, hepatocellular, and oral).'}",,,"bioactive compounds,gastrointestinal cancers,natural compounds,quercetin,therapy",
35837748,7.78634268399267,Role of extracellular vesicles in intercellular communication during reproduction.,04-10-2022,Reproduction in domestic animals = Zuchthygiene,"Journal Article,Review","The mammalian reproduction is a process of controlled cellular growth and development regulated by constant communication between the gametes, the subsequent embryo and the maternal system. Extracellular vesicles (EVs) are involved in these communications to a significant degree from the gamete production and maturation to fertilization, embryo development and implantation. They regulate the cellular physiology and the immune reaction to bring about a favourable environment for a successful pregnancy. Deciphering the mechanisms employed in EV-mediated embryo maternal communication could improve our knowledge in mammalian reproduction and increase the efficiency of animal breeding.",,,"embryo-maternal communication,extracellular vesicles,immune regulation,intercellular signalling,maternal recognition of pregnancy","Animals,Cell Communication,Embryo Implantation,Embryo, Mammalian,Extracellular Vesicles,Female,Mammals,Pregnancy,Reproduction"
35670629,7.785118033034165,Cellular and molecular basis for the action of retinoic acid in spermatogenesis.,12-10-2022,Journal of molecular endocrinology,"Journal Article,Review,Research Support, N.I.H., Extramural",Spermatogenesis is a highly organized and regulated process that requires the constant production of millions of gametes over the reproductive lifetime of the mammalian male. This is possible because of an active stem cell pool and an ordered entry into the germ cell developmental sequence. The ordered entry is a result of the synthesis and action of retinoic acid allowing for the onset of spermatogonial differentiation and an irreversible commitment to spermatogenesis. The periodic appearance and actions of retinoic acid along the seminiferous tubules is a result of the interactions between germ cells and Sertoli cells that result in the generation and maintenance of the cycle of the seminiferous epithelium and is the subject of this review.,Tretinoin,,"Sertoli cells,retinoic,spermatogenesis,spermatogonia","Animals,Male,Mammals,Seminiferous Epithelium,Sertoli Cells,Spermatogenesis,Spermatogonia,Testis,Tretinoin"
35690411,7.784266604501915,Epigenetic alterations induced by genotoxic occupational and environmental human chemical carcinogens: An update of a systematic literature review.,14-06-2022,Mutation research. Reviews in mutation research,"Journal Article,Review,Systematic Review,Research Support, N.I.H., Extramural","Epigenetic alterations, such as changes in DNA methylation, histones/chromatin structure, nucleosome positioning, and expression of non-coding RNAs, are recognized among key characteristics of carcinogens; they may occur independently or concomitantly with genotoxic effects. While data on genotoxicity are collected through standardized guideline tests, data collected on epigenetic effects is far less uniform. In 2016, we conducted a systematic review of published studies of genotoxic carcinogens that reported epigenetic endpoints to better understand the evidence for epigenetic alterations of human carcinogens, and the potential association with genotoxic endpoints. Since then, the number of studies of epigenetic effects of chemicals has nearly doubled. This review stands as an update on epigenetic alterations induced by occupational and environmental human carcinogens that were previously and recently classified as Group 1 by the International Agency for Research on Cancer. We found that the evidence of epigenetic effects remains uneven across agents. Studies of DNA methylation are most abundant, while reports concerning effects on non-coding RNA have increased over the past 5 years. By contrast, mechanistic toxicology studies of histone modifications and chromatin state alterations remain few. We found that most publications of epigenetic effects of carcinogens were studies in exposed humans or human cells. Studies in rodents represent the second most common species used for epigenetic studies in toxicology, in vivo exposures being the most predominant. Future studies should incorporate dose- and time-dependent study designs and also investigate the persistence of effects following cessation of exposure, considering the dynamic nature of most epigenetic alterations.","Carcinogens,Carcinogens, Environmental,Chromatin",,"Cancer,Epigenetics,Genotoxicity,Hazard assessment,Toxicology","Carcinogens,Carcinogens, Environmental,Chromatin,DNA Damage,Epigenesis, Genetic,Epigenomics,Humans"
35985363,7.783322193643357,Pendimethalin induces apoptotic cell death through activating ER stress-mediated mitochondrial dysfunction in human umbilical vein endothelial cells.,20-09-2022,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,Journal Article,"Pendimethalin is globally registered for control of a wide range of weeds in agriculture and home landscaping. Human exposure to pendimethalin can occur by the oral route through food and other sources. Endothelial function is vital to numerous biological processes, and endothelial dysfunction and poor vascular health is associated with increased atherosclerotic events; however, no study has yet investigated the potential effect of pendimethalin on endothelial function and vasculature formation. The objective of the current study is to investigate if pendimethalin may affect the viability and function of vascular endothelial cells. We observed that pendimethalin significantly repressed viability of human endothelial cells, inducing G1 cell cycle arrest and apoptotic/necrotic cell death. Pendimethalin treatment also activated ER stress and autophagy, leading to loss of mitochondrial membrane potential. In addition, pendimethalin impaired the tube forming and migratory abilities of endothelial cells. This study provides previously unrecognized adverse effects of pendimethalin in vascular endothelial cells, mediated by ER stress-induced mitochondrial dysfunction.","Aniline Compounds,pendimethalin",,"Apoptosis,Endothelial cells,Pendimethalin,Tube formation,Viability","Aniline Compounds,Apoptosis,Endoplasmic Reticulum Stress,Human Umbilical Vein Endothelial Cells,Humans,Mitochondria"
36182138,7.777297658584539,"Parental and transgenerational impairments of thyroid endocrine system in zebrafish by 2,4,6-tribromophenol.",04-10-2022,Journal of environmental sciences (China),Journal Article,"Many environmental contaminants could be transmitted from parents and generate impairments to their progeny. The 2,4,6-tribromophenol (TBP), a novel brominated flame retardant which has been frequently detected in various organisms, was supposed to be bioaccumulated and intergenerational transmitted in human beings. Previous studies revealed that TBP could disrupt thyroid endocrine system in zebrafish larvae. However, there is no available data regarding the parental and transgenerational toxicity of this contaminant. Thus, in this study adult zebrafish were exposed to environmental contaminated levels of TBP for 60 days to investigate the parental and transgenerational impairments on thyroid endocrine system. Chemical analysis verified the bioaccumulation of TBP in tested organs of parents (concentration: liver>gonads>brain) and its transmission into eggs. For adults, increased thyroid hormones, disturbed transcriptions of related genes and histopathological changes in thyroid follicles indicate obvious thyroid endocrine disruptions. Transgenerational effects are indicated by the increased thyroid hormones both in eggs (maternal source) and in developed larvae (newly synthesized), as well as disrupted transcriptional profiles of key genes in HPT axis. The overall results suggest that the accumulated TBP could be transmitted from parent to offspring and generate thyroid endocrine disruptions in both generations.","Endocrine Disruptors,Flame Retardants,Phenols,Thyroid Hormones,Water Pollutants, Chemical,2,4,6-tribromophenol",,"2,4,6-tribromophenol,Novel brominated flame retardant,Thyroid endocrine disruption,Transgenerational toxicity,Zebrafish","Animals,Endocrine Disruptors,Flame Retardants,Humans,Larva,Phenols,Thyroid Gland,Thyroid Hormones,Water Pollutants, Chemical,Zebrafish"
35747820,7.77513608958177,Epigenetic Regulation in Gastroenteropancreatic Neuroendocrine Tumors.,16-07-2022,Frontiers in oncology,"Journal Article,Review","Gastroenteropancreatic neuroendocrine neoplasms are a rare, diverse group of neuroendocrine tumors that form in the pancreatic and gastrointestinal tract, and often present with side effects due to hormone hypersecretion. The pathogenesis of these tumors is known to be linked to several genetic disorders, but sporadic tumors occur due to dysregulation of additional genes that regulate proliferation and metastasis, but also the epigenome. Epigenetic regulation in these tumors includes DNA methylation, chromatin remodeling and regulation by noncoding RNAs. Several large studies demonstrate the identification of epigenetic signatures that may serve as biomarkers, and others identify innovative, epigenetics-based targets that utilize both pharmacological and theranostic approaches towards the development of new treatment approaches.",,,"DNA methylation,histone modification,miRNA,neuroendocrine,pancreatic",
36041661,7.772231897373313,Prenatal smoke (Nicotine) exposure and offspring's metabolic disease susceptibility in adulthood.,20-09-2022,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"Journal Article,Review","Exposure to smoking (nicotine) during pregnancy not only directly affects fetal development, but also increases susceptibility to metabolic diseases in adulthood, but the mechanism of action remains unclear. Here, we review epidemiological and laboratory studies linking these relationships. In addition to the direct effect of nicotine on the fetus, intrauterine neuroendocrine-metabolic programming mediated by maternal glucocorticoid overexposure also plays an important role, involving glucocorticoid-insulin-like growth factor 1 (GC-IGF1) axis, hypothalamic-pituitary-adrenal (HPA) axis, renin-angiotensin system (RAS) and other endocrine systems. Epigenetics is involved in intrauterine neuroendocrine-metabolic programming, metabolic disease susceptibility and multigenerational inheritance. There are ""two programming"" and ""two strikes"" mechanisms for the occurrence of fetal-originated metabolic diseases in adulthood. These innovative research summaries and academic viewpoints provide experimental and theoretical basis for systematically elucidating the occurrence and development of fetal-originated metabolic diseases.","Glucocorticoids,Smoke,Insulin-Like Growth Factor I,Nicotine",,"Glucocorticoids,Intrauterine programming,Metabolic diseases,Nicotine,Smoke","Adult,Disease Susceptibility,Female,Glucocorticoids,Humans,Insulin-Like Growth Factor I,Metabolic Diseases,Nicotine,Pregnancy,Prenatal Exposure Delayed Effects,Smoke"
35900833,7.7703104966437895,Female reproductive dysfunctions and the gut microbiota.,08-08-2022,Journal of molecular endocrinology,"Journal Article,Review,Research Support, Non-U.S. Gov't,Research Support, N.I.H., Extramural","The gut microbiome is considered an endocrine organ that can influence distant organs and associated biological pathways. Recent advances suggest that gut microbial homeostasis is essential for reproductive health and that perturbations in the gut microbiota can lead to reproductive pathologies. This review provides an updated overview of the relationship between the gut microbiome and female reproductive diseases. Specifically, we highlight the most recent findings on the gut microbiome in gynecological pathologies including polycystic ovarian syndrome, endometriosis, and endometrial cancer. Most studies revealed associations between altered gut microbial compositions and these reproductive diseases, though few have suggested cause-effect relationships. Future studies should focus on determining the molecular mechanisms underlying associations between gut microbiota and reproductive diseases. Understanding this bidirectional relationship could lead to the development of novel and effective strategies to prevent, diagnose, and treat female reproductive organ-related diseases.",,,"PCOS,endometriosis,infertility,microbiome,reproduction","Endometriosis,Female,Gastrointestinal Microbiome,Homeostasis,Humans,Polycystic Ovary Syndrome,Reproduction"
36351836,7.769356266448607,Xenobiotic Receptors: A Journey of Rewards.,09-11-2022,Drug metabolism and disposition: the biological fate of chemicals,Journal Article,"{'b': 'Significance Statement', '#text': 'The xenobiotic nuclear receptors pregnane X receptor (PXR) and constitutive androstane receptor (CAR) were discovered or characterized in 1998. PXR and CAR have since been defined as master regulators of xenobiotic responses through their transcriptional regulation of drug-metabolizing enzymes and transporters. This article aims to provide an overview on the discovery of PXR and CAR as xenobiotic receptors.  The xenobiotic receptors PXR and CAR play a key role in drug metabolism and disposition through their regulation of drug-metabolizing enzymes and transporters.'}",,,"Regulation - xenobiotic,nuclear receptors",
35740893,7.76800663700128,Cortisol Regulates Cerebral Mitochondrial Oxidative Phosphorylation and Morphology of the Brain in a Region-Specific Manner in the Ovine Fetus.,27-06-2022,Biomolecules,"Journal Article,Research Support, Non-U.S. Gov't","In adults, glucocorticoids are stress hormones that act, partly, through actions on mitochondrial oxidative phosphorylation (OXPHOS) to increase energy availability. Before birth, glucocorticoids are primarily maturational signals that prepare the fetus for new postnatal challenges. However, the role of the normal prepartum glucocorticoid rise in preparing mitochondria for the increased postnatal energy demands remains largely unknown. This study examined the effect of physiological increases in the fetal cortisol concentration on cerebral mitochondrial OXPHOS capacity near term (~130 days gestation, term ~145 days gestation). Fetal sheep were infused with saline or cortisol for 5 days at ~0.8 of gestation before the mitochondrial content, respiratory rates, abundance of the electron transfer system proteins and OXPHOS efficiency were measured in their cortex and cerebellum. Cerebral morphology was assessed by immunohistochemistry and stereology. Cortisol treatment increased the mitochondrial content, while decreasing Complex I-linked respiration in the cerebellum. There was no effect on the cortical mitochondrial OXPHOS capacity. Cortisol infusion had regional effects on cerebral morphology, with increased myelination in the cerebrum. The findings demonstrate the importance of cortisol in regulating the cerebral mitochondrial OXPHOS capacity prenatally and have implications for infants born preterm or after glucocorticoid overexposure due to pregnancy complications or clinical treatment.","Glucocorticoids,Hydrocortisone",,"brain,cortisol,fetus,mitochondria","Animals,Brain,Female,Fetus,Gestational Age,Glucocorticoids,Humans,Hydrocortisone,Mitochondria,Oxidative Phosphorylation,Pregnancy,Sheep"
35921917,7.766788037754929,Synaptophysin and chromogranin A expression analysis in human tumors.,30-08-2022,Molecular and cellular endocrinology,Journal Article,"The expression of the neuroendocrine markers synaptophysin and chromogranin A was analyzed by immunohistochemistry in 14,584 samples from 103 different tumor types and subtypes in a tissue microarray format. At least one of these markers was found to be positive in 96.7% of tumors from various subtypes of neuroendocrine neoplasms. In non-neuroendocrine tumors, synaptophysin and/or chromogranin A staining was seen in 6.3% (n = 584), specifically in 41 of 88 non-neuroendocrine tumor entities. Basal cell carcinomas of the skin (50% positive for chromogranin A alone) and adrenocortical carcinomas (91.7% positive for synaptophysin alone) stood out due to a frequent expression of only one specific marker. A subdivision of non-neuroendocrine neoplasms revealed ""neuroendocrine differentiation"" most commonly in adenocarcinomas from the female genital tract (18.9%), from pancreatico-/hepato-/biliary tract (15.8%) and the prostate (14.9%) while it was rare in urothelial (1.0%) and squamous cell carcinomas (0.6%). A comparison with clinico-pathological parameters of tumor aggressiveness did not suggest a clinical significance of neuroendocrine marker expression in 204 endometrium cancers, 249 pancreatic adenocarcinomas, 233 gastric adenocarcinomas and 1,182 colorectal adenocarcinomas. Within a cohort of 1,073 breast cancers of no special type, synaptophysin positivity was seen in 4.9% of cases and it was significantly linked to advanced tumor stage (p = 0.0427), high tumor grade (p = 0.0319) and loss of estrogen receptor expression (p = 0.0061) but unrelated to patient outcome. In conclusion, ""neuroendocrine differentiation"" can be observed in many different tumor types with non-neuroendocrine morphology. Evidence for a statistically significant association (p < 0.0001) between such a ""neuroendocrine differentiation"" and tumor aggressiveness could not be found.","Biomarkers, Tumor,Chromogranin A,Synaptophysin",,"Chromogranin A,Immunohistochemistry,Synaptophysin,TMA,Tissue microarray","Adenocarcinoma,Biomarkers, Tumor,Carcinoma, Neuroendocrine,Chromogranin A,Female,Humans,Immunohistochemistry,Male,Neuroendocrine Tumors,Synaptophysin"
35990577,7.764975739749101,Paternal high-fat diet alters triglyceride metabolism-related gene expression in liver and white adipose tissue of male mouse offspring.,23-08-2022,Biochemistry and biophysics reports,Journal Article,"Obesity is a major public health problem, and its prevalence is progressively increasing worldwide. In addition, accumulating evidence suggests that diverse nutritional and metabolic disturbances including obesity can be transmitted from parents to offspring via transgenerational epigenetic inheritance. The previous reports have shown that paternal obesity has profound impacts on the development and metabolic health of their progeny. However, little information is available concerning the effects of paternal high-fat diet (HFD) exposure on triglyceride metabolism in the offspring. Therefore, we investigated the effects of paternal HFD on triglyceride metabolism and related gene expression in male mouse offspring. We found that paternal HFD exposure significantly increased the body weight, liver and epididymal white adipose tissue (eWAT) weights, and liver triglyceride content in male offspring, despite consuming control diet. In addition, paternal HFD exposure had induced changes in the mRNA expression of genes involved in lipid and triglyceride metabolism in the liver and eWAT. These findings indicate transgenerational inheritance from the paternal metabolic disturbance of triglyceride and support the effects of paternal lifestyle choices on offspring development and health later in life.",,,"High-fat diet,Paternal,Transgenerational inheritance,Triglyceride metabolism",
35757428,7.760028228804155,Effects of Organochlorine Pesticide Residues in Maternal Body on Infants.,28-06-2022,Frontiers in endocrinology,"Journal Article,Review,Research Support, Non-U.S. Gov't","There are many organochlorine pollutants in the environment, which can be directly or indirectly exposed to by mothers, and as estrogen endocrine disruptors can cause damage to the lactation capacity of the mammary gland. In addition, because breast milk contains a lot of nutrients, it is the most important food source for new-born babies. If mothers are exposed to organochlorine pesticides (OCPs), the lipophilic organochlorine contaminants can accumulate in breast milk fat and be passed to the infant through breast milk. Therefore, it is necessary to investigate organochlorine contaminants in human milk to estimate the health risks of these contaminants to breastfed infants. In addition, toxic substances in the mother can also be passed to the fetus through the placenta, which is also something we need to pay attention to. This article introduces several types of OCPs, such as dichlorodiphenyltrichloroethane (DDT), methoxychlor (MXC), hexachlorocyclohexane (HCH), endosulfan, chlordane, heptachlorand and hexachlorobenzene (HCB), mainly expounds their effects on women's lactation ability and infant health, and provides reference for maternal and infant health. In addition, some measures and methods for the control of organochlorine pollutants are also described here.","Environmental Pollutants,Hydrocarbons, Chlorinated,Pesticide Residues,Pesticides",,"breast milk,estrogen endocrine disruptors,infant,lactation,organochlorine pesticides","Environmental Pollutants,Female,Humans,Hydrocarbons, Chlorinated,Infant,Milk, Human,Pesticide Residues,Pesticides,Pregnancy"
36301509,7.7590473606775685,Pesticides as endocrine disruptors: programming for obesity and diabetes.,27-10-2022,Endocrine,"Journal Article,Review","[{'@Label': 'PURPOSE', '@NlmCategory': 'OBJECTIVE', '#text': 'Exposure to pesticides has been associated with obesity and diabetes in humans and experimental models mainly due to endocrine disruptor effects. First contact with environmental pesticides occurs during critical phases of life, such as gestation and lactation, which can lead to damage in central and peripheral tissues and subsequently programming disorders early and later in life.'}, {'@Label': 'METHODS', '@NlmCategory': 'METHODS', '#text': 'We reviewed epidemiological and experimental studies that associated pesticide exposure during gestation and lactation with programming obesity and diabetes in progeny.'}, {'@Label': 'RESULTS', '@NlmCategory': 'RESULTS', '#text': 'Maternal exposure to organochlorine, organophosphate and neonicotinoids, which represent important pesticide groups, is related to reproductive and behavioral dysfunctions in offspring; however, few studies have focused on glucose metabolism and obesity as outcomes.'}, {'@Label': 'CONCLUSION', '@NlmCategory': 'CONCLUSIONS', '#text': 'We provide an update regarding the use and metabolic impact of early pesticide exposure. Considering their bioaccumulation in soil, water, and food and through the food chain, pesticides should be considered a great risk factor for several diseases. Thus, it is urgent to reformulate regulatory actions to reduce the impact of pesticides on the health of future generations.'}]",,,"Diabetes,Endocrine Disruptors Chemicals,Metabolic Programming,Obesity,Pesticides",
36269020,7.755946218349115,Tumor Immune Evasion Is Supported by Histone Methylation Antagonism.,05-12-2022,Cancer discovery,Journal Article,Loss or mutation of the histone methyltransferase NSD1 drives immune evasion in squamous cell carcinoma.,"Histones,Histone-Lysine N-Methyltransferase,Nuclear Proteins,Intracellular Signaling Peptides and Proteins",,,"Humans,Methylation,Histones,Histone-Lysine N-Methyltransferase,Tumor Escape,Nuclear Proteins,Intracellular Signaling Peptides and Proteins"
36077804,7.7520725664627905,The Role of Neural Signaling in the Pancreatic Cancer Microenvironment.,13-09-2022,Cancers,"Journal Article,Review","Pancreatic cancer is one of the most lethal malignant diseases. Various cells in the tumor microenvironment interact with tumor cells and orchestrate to support tumor progression. Several kinds of nerves are found in the tumor microenvironment, and each plays an essential role in tumor biology. Recent studies have shown that sympathetic, parasympathetic, and sensory neurons are found in the pancreatic cancer microenvironment. Neural signaling not only targets neural cells, but tumor cells and immune cells via neural receptors expressed on these cells, through which tumor growth, inflammation, and anti-tumor immunity are affected. Thus, these broad-range effects of neural signaling in the pancreatic cancer microenvironment may represent novel therapeutic targets. The modulation of neural signaling may be a therapeutic strategy targeting the whole tumor microenvironment. In this review, we describe the current understanding of the role of nerves in the tumor microenvironment of various cancers, with an emphasis on pancreatic cancer. We also discuss the underlying mechanisms and the possibility of therapeutic applications.",,,"nerve,pancreatic ductal adenocarcinoma,stroma,tumor microenvironment",
35847099,7.750035679683466,Mitochondrial Function and Microbial Metabolites as Central Regulators of Intestinal Immune Responses and Cancer.,19-07-2022,Frontiers in microbiology,Journal Article,"Energy and anabolic metabolism are essential for normal cellular homeostasis but also play an important role in regulating immune responses and cancer development as active immune and cancer cells show an altered metabolic profile. Mitochondria take a prominent position in these metabolic reactions. First, most key energetic reactions take place within or in conjunction with mitochondria. Second, mitochondria react to internal cues from within the cell but also to external cues originating from the microbiota, a vast diversity of associated microorganisms. The impact of the microbiota on host physiology has been largely investigated in the last decade revealing that the microbiota contributes to the extraction of calories from the diet, energy metabolism, maturation of the immune system and cellular differentiation. Thus, changes in the microbiota termed dysbiosis have been associated with disease development including metabolic diseases, inflammation and cancer. Targeting the microbiota to modulate interactions with the mitochondria and cellular metabolism to delay or inhibit disease development and pathogenesis appears an attractive therapeutic approach. Here, we summarize recent advances in developing the therapeutic potential of microbiota-mitochondria interactions for inflammation and cancer.",,,"cancer,inflammation,metabolites,microbiota,mitochondria",
35586541,7.745335929625846,Movement Disorders and the Gut: A Review.,16-07-2022,Movement disorders clinical practice,"Journal Article,Review",There is a close link between multiple movement disorders and gastrointestinal dysfunction. Gastrointestinal symptoms may precede the development of the neurologic syndrome or may arise following the neurologic presentation. This review will provide an overview of gastrointestinal accompaniments to several well-known as well as lesser known movement disorders. It will also highlight several disorders which may not be considered primary movement disorders but have an overlapping presentation of both gastrointestinal and movement abnormalities.,,,"gastrointestinal,movement disorders",
36171897,7.744620773004625,The role of protein acetylation in carcinogenesis and targeted drug discovery.,30-09-2022,Frontiers in endocrinology,"Journal Article,Review,Research Support, Non-U.S. Gov't","Protein acetylation is a reversible post-translational modification, and is involved in many biological processes in cells, such as transcriptional regulation, DNA damage repair, and energy metabolism, which is an important molecular event and is associated with a wide range of diseases such as cancers. Protein acetylation is dynamically regulated by histone acetyltransferases (HATs) and histone deacetylases (HDACs) in homeostasis. The abnormal acetylation level might lead to the occurrence and deterioration of a cancer, and is closely related to various pathophysiological characteristics of a cancer, such as malignant phenotypes, and promotes cancer cells to adapt to tumor microenvironment. Therapeutic modalities targeting protein acetylation are a potential therapeutic strategy. This article discussed the roles of protein acetylation in tumor pathology and therapeutic drugs targeting protein acetylation, which offers the contributions of protein acetylation in clarification of carcinogenesis, and discovery of therapeutic drugs for cancers, and lays the foundation for precision medicine in oncology.","Histone Acetyltransferases,Histone Deacetylases",,"HAT,HDAC,HDAC inhibitor,acetylation,cancer,post-translational modification","Acetylation,Carcinogenesis,Drug Discovery,Histone Acetyltransferases,Histone Deacetylases,Humans,Neoplasms,Protein Processing, Post-Translational,Tumor Microenvironment"
36092861,7.7436802083379535,Gut and obesity/metabolic disease: Focus on microbiota metabolites.,13-09-2022,MedComm,"Journal Article,Review","Obesity is often associated with the risk of chronic inflammation and other metabolic diseases, such as diabetes, cardiovascular disease, and cancer. The composition and activity of the gut microbiota play an important role in this process, affecting a range of physiological processes, such as nutrient absorption and energy metabolism. The active gut microbiota can produce a large number of physiologically active substances during the process of intestinal metabolism and reproduction, including short-chain/long-chain fatty acids, secondary bile acids, and tryptophan metabolites with beneficial effects on metabolism, as well as negative metabolites, including trimethylamine N-oxide, delta-valerobetaine, and imidazole propionate. How gut microbiota specifically affect and participate in metabolic and immune activities, especially the metabolites directly produced by gut microbiota, has attracted extensive attention. So far, some animal and human studies have shown that gut microbiota metabolites are correlated with host obesity, energy metabolism, and inflammation. Some pathways and mechanisms are slowly being discovered. Here, we will focus on the important metabolites of gut microbiota (beneficial and negative), and review their roles and mechanisms in obesity and related metabolic diseases, hoping to provide a new perspective for the treatment and remission of obesity and other metabolic diseases from the perspective of metabolites.",,,"gut microbiota,metabolic disease,metabolites,obesity",
36129308,7.742251997192038,"{'i': 'para', '#text': 'Acute effects of -chloroamphetamine on testosterone and markers of apoptosis in seminiferous epithelium of prepubertal male rats.'}",27-10-2022,Systems biology in reproductive medicine,Journal Article,"{'i': 'para', '#text': 'Serotonin is a neurotransmitter that affects the secretion of gonadotropins and testosterone. In prepubertal male rats, serotonin has a stimulating role in testosterone secretion. Here, we used prepubertal male rats to study the effects of -chloroamphetamine (pCA) on circulating testosterone and gonadotropins and markers of apoptosis in germ cells from day 1 to day 5 post-treatment. The intraperitoneal administration of pCA induced a significant reduction in concentrations of hypothalamic serotonin and circulating testosterone, but gonadotropins were not affected. In the seminiferous epithelium of pCA-treated rats, increased the number of germ cells positive to markers of apoptosis, concomitantly with alterations in morphometry and the presence of multinucleated germ cells. Levels of testosterone were reduced starting from 1\u2009day after pCA was administered. The time window between the administration of the pCA and collection of samples was sufficient to detect changes in testosterone levels, in contrast with a previous work where no changes were found. There was a possible relationship between the reduction of testosterone and an increase in the number of germ cells positive to apoptosis markers. However, the mechanism that links pCA-testosterone-germ cell positive to markers of apoptosis is unknown. Our outcomes support the view that pCA exposure during the prepubertal stage has an acute impact on testosterone levels and affects the structure and physiology of seminiferous epithelium.'}","p-Chloroamphetamine,Testosterone,Serotonin,Gonadotropins",,"apoptosis,male germ cells,p-Chloroamphetaminel serotonin,testosterone","Rats,Male,Animals,Seminiferous Epithelium,p-Chloroamphetamine,Testosterone,Spermatogenesis,Serotonin,Apoptosis,Gonadotropins"
36029407,7.737246562630142,Mitochondrial Dysregulation and the Influence in Neurodegenerative Diseases.,30-08-2022,Advances in experimental medicine and biology,Journal Article,"Mitochondrial function is essential to ensure vital cellular processes. Given the energy requirement of the brain, neuronal function, viability, and survival are closely related to proper mitochondrial function. Dysregulation of mitochondrial processes can lead to several detrimental effects in the cells and stablish the condition of mitochondrial dysfunction. This dysfunction is proposed to be greatly implicated in several neurodegenerative diseases, with evidence of compromised mitochondrial function and dynamics in Alzheimer's disease, Parkinson's disease, Huntington's disease, and amyotrophic lateral sclerosis.",,,"Brain metabolism,Mitochondrial dysfunction,Neurogenerative diseases,Proteomics","Alzheimer Disease,Humans,Mitochondria,Mitochondrial Diseases,Neurodegenerative Diseases,Neurons,Parkinson Disease"
35609422,7.736399975316937,Alterations in transcriptional networks in cancer: the role of noncoding somatic driver mutations.,16-08-2022,Current opinion in genetics & development,"Journal Article,Review","Aberrant gene expression is a cancer hallmark and it is known that almost every tumor acquires somatic mutations in transcription factors, chromatin regulators, or the DNA regulatory elements that are critical for transcriptional control and cell phenotype. While the role of transcription factors and chromatin regulators has been widely studied, relatively few noncoding driver mutations have been identified and functionally characterized to date. Here, we review the current understanding of somatic variants in noncoding regions of the cancer genome and their impact on chromatin architecture and transcriptional networks. We also discuss approaches and ongoing challenges for noncoding driver discovery, and highlight insights gained from recent studies exploring the nature and impact of noncoding drivers on tumor formation.","Chromatin,Transcription Factors",,,"Chromatin,Gene Regulatory Networks,Humans,Mutation,Neoplasms,Transcription Factors"
