Primary identifier,Name,Literature identifier,Study type,Endocrine-mediated endpoints,Endocrine mediated systems
CID:39676,Vinclozolin,PMID:14966743,IVR,Undescended testes (or cryptorchidism),Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:39681,Isoprothiolane,PMID:17904202,IVTH,Affects expression of estrogen receptor-alpha (ER-alpha),Reproductive endocrine-mediated perturbations
CID:39681,Isoprothiolane,PMID:17904202,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:39681,Isoprothiolane,PMID:17904202,IVTH,Occurrence of mammary gland tumor,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:39728,"Dibenzo(b,e)(1,4)dioxin, 2,3-dibromo-7,8-dichloro-",DOI:10.1016/0045-6535(91)90040-K,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:17447562,IVTH,Affects corticosterone metabolism,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",DOI:10.1016/0045-6535(92)90467-6,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased thymus gland weights,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased thymus gland weights,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased thymus gland weights,Immunological endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased triglycerides level,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased triglycerides level,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Decreased triglycerides level,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increase in T3 levels,Metabolic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Alanine aminotransferase (ALT) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Alanine aminotransferase (ALT) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Alanine aminotransferase (ALT) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Aspartate aminotransferase (AST) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Aspartate aminotransferase (AST) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,Increased Aspartate aminotransferase (AST) levels,Hepatic endocrine-mediated perturbations
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",PMID:8248944,IVR,No significant effects observed,-
CID:40024,Deoxynivalenol,PMID:22982764,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40024,Deoxynivalenol,PMID:22982764,IVTH,Decrease in cortisol levels,Neurological endocrine-mediated perturbations
CID:40024,Deoxynivalenol,PMID:22982764,IVTH,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:40024,Deoxynivalenol,PMID:22982764,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40024,Deoxynivalenol,PMID:22982764,IVTH,Increased progesterone levels,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:25429344,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Affects skeletal development,Developmental endocrine-mediated perturbations
CID:4004,Malathion,PMID:25429344,IVR,Affects sperm motility,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:16079077,IVTH,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:25429344,IVR,Alters sperm function,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:4004,Malathion,PMID:3996333,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:4004,Malathion,PMID:3996333,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:25429344,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Hyperplasia in parathyroid gland,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Hyperplasia in parathyroid gland,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:8434444,IVR,Increase in cortisol levels,Neurological endocrine-mediated perturbations
CID:4004,Malathion,PMID:8434444,IVR,Increase in cortisol levels,Neurological endocrine-mediated perturbations
CID:4004,Malathion,PMID:21783476,IVR,Lead to obesity,Metabolic endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,No significant effects observed,-
CID:4004,Malathion,PMID:16079077,IVTH,Occurrence of mammary gland tumor,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:20021041,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:4004,Malathion,PMID:25429344,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Testicular atrophy,Reproductive endocrine-mediated perturbations
CID:4004,Malathion,PMID:3996333,IVR,Testicular atrophy,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Affects litter size,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:2606405,IVR,Affects skeletal development,Developmental endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:2606405,IVR,Affects skeletal development,Developmental endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Affects survival of germ cells,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Affects survival of live fetus,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Alterations in splenocytes population,Immunological endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:2606405,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,No significant effects observed,-
CID:403,p-Aminophenol,PMID:18850357,IVR,No significant effects observed,-
CID:403,p-Aminophenol,PMID:2606405,IVR,No significant effects observed,-
CID:403,p-Aminophenol,PMID:18850357,IVR,Pregnancy complications,Reproductive endocrine-mediated perturbations
CID:403,p-Aminophenol,PMID:18850357,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects cholesterol biosynthesis,Metabolic endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects cholesterol biosynthesis,Metabolic endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects cholesterol transport,Metabolic endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects cholesterol transport,Metabolic endocrine-mediated perturbations
CID:40326,Permethrin,PMID:28870492,IVR,Affects sertoli cells function,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:28870492,IVR,Affects sertoli cells function,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:28870492,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:28870492,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased cowper's gland weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased cowper's gland weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased cowper's gland weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:21745691,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of bulbocavernosus muscles/LABC,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of bulbocavernosus muscles/LABC,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of bulbocavernosus muscles/LABC,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of penis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of penis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of penis,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:40326,Permethrin,PMID:15599112,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Reduced HMG-CoA reductase in testes,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:40463,"Permethrin, cis-",PMID:17463061,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Affects calcium transport,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:24642964,IVR,Affects catecholamine biosynthesis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:8812251,IVR,Affects developmental process,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:8812251,IVR,Affects developmental process,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:8812251,IVR,Affects developmental process,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Affects differentiation process,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Affects intracellular signaling pathway,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:4213067,IVR,Affects iodine uptake into thyroid,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:10614638,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:19337518,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:24642964,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:10614638,IVR,Affects neuronal signaling,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:10614638,IVR,Affects neuronal signaling,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Affects neuronal signaling,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:25572879,IVR,Affects neuronal signaling,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:16759992,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:17889981,IVR,Affects skeletal development,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:19337518,IVR,Affects skeletal development,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:19337518,IVR,Affects spatial learning,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:19337518,IVR,Affects spatial memory,Neurological endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:17889981,IVR,Affects superoxide dismutase (SOD) levels,Hepatic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:17889981,IVR,Affects the biochemical composition of liver,Hepatic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:16759992,IVR,Affects uterine morphology,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:16759992,IVR,Affects Wnt signaling pathway,Developmental endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:21783486,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:24711995,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:16759992,IVR,Alterations in endometrial morphology,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:18602130,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:40470,Aroclor 1254,PMID:19337518,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:40470,Aroclor 1254,PMID:24642964,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:40470,Aroclor 1254,PMID:15997204,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:10614638,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:10614638,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:11714251,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:21783486,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:24642964,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:17889981,IVR,Decreased Acid phosphatase (ACP) activity in the liver,Hepatic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:27614457,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:11714251,IVR,Elevated biliary T4 excretion,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:4213067,IVR,Elevated biliary T4 excretion,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:15997204,IVR,Increase in T4 levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:26432769,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:11714251,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:19337518,IVR,No significant effects observed,-
CID:40470,Aroclor 1254,PMID:17889981,IVR,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:40470,Aroclor 1254,PMID:17889981,IVR,Reduced femur weights,Developmental endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Affects sperm motility,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:17683461,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Decreased inhibin-B levels,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:27164926,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:17683461,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:40585,Deltamethrin,PMID:12473415,IVR,No significant effects observed,-
CID:40585,Deltamethrin,PMID:12473415,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:6451681,IVR,Affects iodine uptake into thyroid,Metabolic endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Affects survival of germ cells,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:1151749,IVR,Alters sperm function,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Induce apoptosis in testis,Reproductive endocrine-mediated perturbations
CID:409301,Methylmercuric chloride,PMID:11696407,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:21843794,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:23596261,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects embryonic development,Developmental endocrine-mediated perturbations
CID:4096,Methamidophos,PMID:10828210,IVR,Affects fertility,Reproductive endocrine-mediated perturbations
